"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"a3kr","Pause and Play","Beverages","4.8","(100+)","Chiang Mai"
"fv8o","Ar Meen Ar Harn Tamsang Halal","Asian","5","(49)","Chiang Mai"
"e144","VT Namnueng Chiangmai","Vietnamese","4.9","(1000+)","Chiang Mai"
"w1wo","Laila Chicken Biryani","Thai","4.7","(500+)","Chiang Mai"
"u5qd","Nakhonsawan Rice Porridge","Thai","4.8","(2000+)","Chiang Mai"
"u8bd","Lai La Chicken Biryani","Thai","4.7","(1000+)","Chiang Mai"
"o2jq","Yui Phochana","Thai","4.6","(100+)","Chiang Mai"
"hw8y","Kaprow Kradong Ban Chan (Rim Nam Ping)","Thai","4.7","(1000+)","Chiang Mai"
"u5vm","Rotee Laila 3","Thai","4.8","(100+)","Chiang Mai"
"b4zv","Mae Hom Cafe","Beverages","4.1","(24)","Chiang Mai"
"ytrf","Glasshopper Coffee","Beverages","5","(100+)","Chiang Mai"
"c9yx","Kluk Kapi by Anny","Thai","4.7","(100+)","Chiang Mai"
"y1pe","Kade Coffee","Beverages","4.6","(100+)","Chiang Mai"
"x65d","Ban Ruam Kaprow (Nong Hoi)","Thai","4.8","(100+)","Chiang Mai"
"b7md","Dark Roast Cafe (Dynasty - Sansai)","Beverages","4.9","(16)","Chiang Mai"
"mo9m","Ar Kiang Kuay Tiew Lukchin Pla Rai San (San Sai Noi)","Thai","4.9","(21)","Chiang Mai"
"v3vx","Heyday Cafe","International","4.9","(100+)","Chiang Mai"
"bjte","C Conut Cafe","Thai","4.6","(58)","Chiang Mai"
"w7db","Sangsan Coffee (Sankamphaeng)","Beverages","4.8","(500+)","Chiang Mai"
"avq1","Pa Aead Arhan Paktai Mueang Roi Koh","Thai","3.8","(3)","Chiang Mai"
"v4wd","Going Up Cafe","American","4.7","(1000+)","Chiang Mai"
"d9pk","Heyday khaotom Boran","Thai","4.6","(1000+)","Chiang Mai"
"cx51","Kai Tod Hat Yai 4 Ros","Thai","4.1","(8)","Chiang Mai"
"emhd","Jok Chang Moi (Chaw Kao)","Thai","4.9","(100+)","Chiang Mai"
"s493","Khaomok Kai Cha Ki La","Thai","4.8","(100+)","Chiang Mai"
"vep9","Lampang Loet Rot (Nong Hoi Market)","Thai","4.8","(100+)","Chiang Mai"
"wnyb","Fu Lookchin Pla (Ruam Chok)","Thai","4.9","(16)","Chiang Mai"
"v3xd","Krue Pa Dang","Thai","4.8","(5000+)","Chiang Mai"
"h1ls","Ploy Miracle","Beverages","5","(11)","Chiang Mai"
"w9tq","Moshi Coffee Bar","Beverages","4.8","(100+)","Chiang Mai"
"ashv","Moo Ping Ka Pak","Thai","4.7","(76)","Chiang Mai"
"k3ch","Fried Pork-Chicken Thai Somboon (Nong Hoi)","Thai","4.7","(500+)","Chiang Mai"
"v9pk","Sonnen Cafe (Waroros Market)","Beverages","4.8","(100+)","Chiang Mai"
"djut","Kuichai Aumphun (Chiang Mai)","Chinese","4.7","(68)","Chiang Mai"
"x9cd","Sunday Coffee Brew","Beverages","4.8","(100+)","Chiang Mai"
"i1dd","Clean Zaeb","Thai","4.8","(62)","Chiang Mai"
"w4ud","Curry Puff Muaklek Saraburi (Waroros Market)","Thai","4.8","(100+)","Chiang Mai"
